Load,PV,Price,Fuel Share
0.123,0.0,0.0247399999999999,0.2211621305424303
0.157,0.0,0.02417,0.2089140614877746
0.39,0.0,0.02417,0.2043073781340997
1.205,0.0,0.02344,0.1859720180315259
1.399,0.0,0.0217,0.1898338125639651
1.333,0.0,0.0187899999999999,0.1795518622941089
1.393,0.0,0.02185,0.1785488210159835
1.321,0.0,0.0179,0.1733840000797901
0.123,0.0,0.0185399999999999,0.1708027449728694
1.2999999999999998,0.0,0.0083699999999999,0.166358484342672
0.202,0.0,0.01317,0.1626963912943597
0.148,0.0,0.01425,0.1594832330954978
0.371,0.0,0.01985,0.1581844984406181
1.155,0.0,0.01884,0.1577208011342079
0.143,0.0,0.02017,0.1577746332908163
0.095,0.0,0.02056,0.1654560603832769
0.391,0.0,0.02404,0.1791793036806
0.133,0.0,0.02427,0.2120960303907512
0.773,0.0,0.02435,0.2561146051712089
1.615,0.025,0.02491,0.2861392467302586
1.411,0.038,0.02543,0.3168656317337485
0.943,0.069,0.02594,0.3330189836538166
0.203,0.281,0.02587,0.3561410243160645
0.118,0.513,0.02575,0.3711425044575504
0.363,0.688,0.02537,0.384385149334522
0.966,0.788,0.02541,0.397464568346569
1.828,0.875,0.02541,0.4184230118443316
0.839,0.981,0.02541,0.4292343542835715
1.182,1.063,0.0255,0.4402625385354858
0.848,1.081,0.02542,0.4431737805482658
0.628,1.2,0.02539,0.4414847542755847
0.452,0.944,0.02516,0.434218728825044
0.538,0.844,0.02521,0.4275210084033613
1.872,0.844,0.02513,0.420092329496591
1.881,0.631,0.02525,0.405786709968578
1.835,0.225,0.02523,0.3984433308455059
1.885,0.038,0.0255,0.3789853164853164
1.492,0.006,0.02575,0.3667763889506694
1.887,0.0,0.02823,0.3479926678285954
1.944,0.0,0.03342,0.3343470373927226
1.422,0.0,0.02667,0.3080226399008517
1.346,0.0,0.02623,0.2930882092982146
1.087,0.0,0.02571,0.2860551086213073
0.992,0.0,0.02579,0.2708603329677998
0.462,0.0,0.02582,0.2491115422253506
0.379,0.0,0.02557,0.2241618004650254
0.505,0.0,0.02532,0.2123875476149738
0.586,0.0,0.0245,0.2012316376932452
0.269,0.0,0.0255,0.2071094140642756
0.252,0.0,0.02521,0.1919659454234515
0.295,0.0,0.02535,0.1900443976220934
1.313,0.0,0.02538,0.1798302872062663
1.545,0.0,0.02498,0.1894152294425623
1.725,0.0,0.0253,0.1790596540494159
1.645,0.0,0.0249,0.179359354075638
1.3159999999999998,0.0,0.02495,0.1785774009187578
