Building,Profit,Total Emissions,Setup,Time
13,-481.7863841062656,1756.3262722975473,TD3_LL,14958.801132917404
13,-462.5734026408829,1656.8311454651682,TD3_LL,14958.801132917404
13,-476.0390046416527,1641.2059124405591,TD3_LL,14958.801132917404
14,-760.7201926870894,2651.891193608521,TD3_LL,14958.801132917404
14,-758.416208151753,2685.3316648616424,TD3_LL,14958.801132917404
14,-756.9945296392691,2731.795600750698,TD3_LL,14958.801132917404
15,-599.8402772218004,2312.5496034229723,TD3_LL,14958.801132917404
15,-606.1164264830525,2273.044191013465,TD3_LL,14958.801132917404
15,-598.7724035262167,2252.226135290731,TD3_LL,14958.801132917404
16,-1079.6673274760217,3948.181102203516,TD3_LL,14958.801132917404
16,-1048.0773389003207,3636.656454685839,TD3_LL,14958.801132917404
16,-1014.6920237130925,3547.753695173791,TD3_LL,14958.801132917404
17,-1787.4382444434457,5870.178493554353,TD3_LL,14958.801132917404
17,-1796.5485470470417,5859.806824147773,TD3_LL,14958.801132917404
17,-1839.7520103549307,6373.097368470266,TD3_LL,14958.801132917404
18,-1560.2239152254094,5493.650386885321,TD3_LL,14958.801132917404
18,-1567.9101117695097,5325.916442669634,TD3_LL,14958.801132917404
18,-1569.2579177315881,5645.5076507045105,TD3_LL,14958.801132917404
19,-306.2480717268236,1080.3757392598745,TD3_LL,14958.801132917404
19,-306.70327585668315,1084.4236478016792,TD3_LL,14958.801132917404
19,-320.7840597299913,1190.8553223888075,TD3_LL,14958.801132917404
20,-1383.9705890983334,5022.979725925118,TD3_LL,14958.801132917404
20,-1374.8525328812013,5099.587065472815,TD3_LL,14958.801132917404
20,-1387.7440427834968,5049.430024259912,TD3_LL,14958.801132917404
21,-1957.6976606538053,7341.088094147459,TD3_LL,14958.801132917404
21,-1987.669273646242,6568.417080365128,TD3_LL,14958.801132917404
21,-1962.605783986489,7031.51650734204,TD3_LL,14958.801132917404
22,-777.3170349410906,2734.5329272797076,TD3_LL,14958.801132917404
22,-773.1732276844411,2556.833764363833,TD3_LL,14958.801132917404
22,-771.9612818931433,2682.771451337013,TD3_LL,14958.801132917404
23,-937.2750186548478,3030.3613220148136,TD3_LL,14958.801132917404
23,-943.7886530567052,3109.337478878774,TD3_LL,14958.801132917404
23,-972.9977070987447,3385.5418781388616,TD3_LL,14958.801132917404
24,-291.5585423391307,1743.7484471117168,TD3_LL,14958.801132917404
24,-334.9801971910477,1928.709067150086,TD3_LL,14958.801132917404
24,-297.8106427201065,1681.31132534732,TD3_LL,14958.801132917404
25,-1367.0170371921547,4400.720505774909,TD3_LL,14958.801132917404
25,-1391.39874108763,4180.999529448045,TD3_LL,14958.801132917404
25,-1370.695373295076,4224.641430980761,TD3_LL,14958.801132917404
26,-1778.4924847579907,6335.638339973787,TD3_LL,14958.801132917404
26,-1791.6950736340382,6209.372999440328,TD3_LL,14958.801132917404
26,-1784.665046181519,6309.0417932085975,TD3_LL,14958.801132917404
27,-1055.706176214047,3428.8630766316896,TD3_LL,14958.801132917404
27,-1067.3455458096482,3181.054103512309,TD3_LL,14958.801132917404
27,-1057.8404252848802,3270.4723702369943,TD3_LL,14958.801132917404
28,-622.9601767470914,2031.3947233861554,TD3_LL,14958.801132917404
28,-626.7467599834001,2171.311642624367,TD3_LL,14958.801132917404
28,-624.5008825290391,2010.527100981067,TD3_LL,14958.801132917404
